,key,gender,age_range,language,dialect,sampling_rate,file_type,mic_type,recording_software
0,anonymous-20130702-vny,Male,Adult,EN,Other,48000,wav,Laptop Built,VoxForge Speech Submission Application
1,anonymous-20090711-zoe,Male,Adult,EN,Australian English,48000,wav,Headset mic,VoxForge Speech Submission Application
2,mk-20120531-ctv,Male,Adult,EN,European English,48000,wav,Laptop Built,VoxForge Speech Submission Application
3,zlp-20100110-hpf,Male,Adult,EN,American English,48000,wav,Studio mic,VoxForge Speech Submission Application
4,LuisManuelPradoMoreno-20130104-wna,Male,Adult,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
5,Megan-20160212-zae,Female,Adult,EN,British English,48000,wav,Laptop Built,VoxForge Speech Submission Application
6,pcsnpny-20150204-iev,Male,Adult,EN,American English,48000,wav,Other,VoxForge Speech Submission Application
7,anonymous-20090608-leu,Female,Adult,EN,European English,48000,wav,Laptop Built,VoxForge Speech Submission Application
8,pcsnpny-20150307-doe,Male,Adult,EN,American English,48000,wav,Other,VoxForge Speech Submission Application
9,akiplaner-20091214-kar,Male,Adult,EN,European English,48000,wav,Headset mic,VoxForge Speech Submission Application
10,doublesfrogs-20150224-kza,Male,Adult,EN,Canadian English,48000,wav,WebCam mic,VoxForge Speech Submission Application
11,necrose99-20080308-wvg,Male,Adult,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
12,anonymous-20141225-jpm,Male,Adult,EN,Indian English,48000,wav,Headset mic,VoxForge Speech Submission Application
13,anonymous-20150121-dot,Male,Youth,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
14,Emil-20130420-opl,Male,Adult,EN,European English,48000,wav,Laptop Built,VoxForge Speech Submission Application
15,geon-20080517-hop,Male,Adult,EN,European English,48000,wav,Headset mic,VoxForge Speech Submission Application
16,anonymous-20081014-xmt,Male,Adult,EN,European English,48000,wav,Headset mic,VoxForge Speech Submission Application
17,azmisov-20140430-mqe,Male,Adult,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
18,anonymous-20120408-erw,Male,Adult,EN,American English,48000,wav,WebCam mic,VoxForge Speech Submission Application
19,rortiz-20160226-pux,Male,Adult,EN,American English,48000,wav,USB Headset mic,VoxForge Speech Submission Application
20,anonymous-20130510-mrm,male,adult,EN,American English,48000,wav,unknown,VoxForge Speech Submission Application
21,anonymous-20100720-hyh,Male,Adult,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
22,pcsnpny-20150204-oim,Male,Adult,EN,American English,48000,wav,Other,VoxForge Speech Submission Application
23,Anniepoo-20140308-cqj,Female,Adult,EN,American English,48000,wav,Headset mic,VoxForge Speech Submission Application
24,Mike-20081010-igv,Male,Adult,EN,American English,48000,wav,USB Headset mic,VoxForge Speech Submission Application
25,anonymous-20110910-dns,Male,Adult,EN,European English,48000,wav,Laptop Built,VoxForge Speech Submission Application
26,ralfherzog-20071205-en28,male,N/A,N/A,General American English,N/A,FLAC,noise canceling headset,Audacity 1
27,anonymous-20100709-alu,Male,Youth,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
28,anonymous-20170909-brl,Male,Adult,en,American English,48000,wav,Laptop Built,standalone VoxForge speech submission application
29,anonymous-20091122-hhm,Male,Adult,EN,Other,48000,wav,Headset mic,VoxForge Speech Submission Application
30,farmerjack-20080915-pki,Male,Adult,EN,European English,48000,wav,Headset mic,VoxForge Speech Submission Application
31,camdixon-20141207-byu,Male,Adult,EN,American English,48000,wav,Headset mic,VoxForge Speech Submission Application
32,anonymous-20100328-knh,Male,Youth,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
33,anonymous-20120913-ikd,Male,Youth,EN,American English,48000,wav,Laptop Built,VoxForge Speech Submission Application
34,ColinBeckingham-20100126-vmq,Male,Senior,EN,British English,48000,wav,Headset mic,VoxForge Speech Submission Application
35,polerizer-20091231-upo,Male,Youth,EN,American English,48000,wav,Studio mic,VoxForge Speech Submission Application
36,rortiz-20100209-orz,Male,Adult,EN,American English,48000,wav,USB Headset mic,VoxForge Speech Submission Application
37,mjmm-20080526-hca,Male,Youth,EN,American English,48000,wav,USB Headset mic,VoxForge Speech Submission Application
38,kenanbit-20130805-nta,Male,Youth,EN,American English,48000,wav,Desktop Boom mic,VoxForge Speech Submission Application
39,anonymous-20090901-wez,Male,Youth,EN,American English,48000,wav,Desktop Boom mic,VoxForge Speech Submission Application
40,dborquezm-20140602-uln,Male,Adult,EN,Other,48000,wav,Laptop Built,VoxForge Speech Submission Application
41,colins5286-20101118-crr,Male,Adult,EN,British English,48000,wav,Other,VoxForge Speech Submission Application
42,anonymous-20120104-xza,Male,Youth,EN,European English,48000,wav,USB Desktop Boom mic,VoxForge Speech Submission Application
43,Steltek-20090509-bjl,Male,Adult,EN,European English,48000,wav,Headset mic,VoxForge Speech Submission Application
44,farmerjack-20080917-xab,Male,Adult,EN,European English,48000,wav,Headset mic,VoxForge Speech Submission Application
