,filename,gender,sampling_rate,dialect,source,mic_type
0,./audio_data/voxforge/lindavg-20081007-ovc/wav/b0452.wav,female,48000,American English,VoxForge,headset mic
1,./audio_data/voxforge/anonymous-20171019-nwf/wav/en-0774.wav,female,48000,American English,VoxForge,laptop built
2,./audio_data/voxforge/anonymous-20100604-qub/wav/b0158.wav,female,48000,American English,VoxForge,laptop built
3,./audio_data/voxforge/anonymous-20111230-bqh/wav/a0452.wav,female,48000,American English,VoxForge,laptop built
4,./audio_data/voxforge/anonymous-20081026-ewe/wav/b0537.wav,female,48000,American English,VoxForge,laptop built
5,./audio_data/voxforge/anonymous-20090917-vwy/wav/b0302.wav,female,48000,American English,VoxForge,laptop built
6,./audio_data/voxforge/becz03-20121205-ixj/wav/a0172.wav,female,48000,American English,VoxForge,headset mic
7,./audio_data/voxforge/aileen-20080831-dfq/wav/a0401.wav,female,48000,American English,VoxForge,headset mic
8,./audio_data/voxforge/sfauzia-20100731-nyj/wav/b0099.wav,female,48000,American English,VoxForge,laptop built
9,./audio_data/voxforge/anonymous-20130226-cyt/wav/b0254.wav,female,48000,American English,VoxForge,headset mic
10,./audio_data/voxforge/anonymous-20160104-sjd/wav/a0150.wav,female,48000,American English,VoxForge,laptop built
11,./audio_data/voxforge/anonymous-20090917-dcv/wav/a0516.wav,female,48000,American English,VoxForge,laptop built
12,./audio_data/voxforge/apdsqueaky-20151112-cmp/wav/b0411.wav,female,48000,American English,VoxForge,usb desktop boom mic
13,./audio_data/voxforge/aileen-20080831-ema/wav/a0371-old1.wav,female,48000,American English,VoxForge,headset mic
14,./audio_data/voxforge/aileen-20080831-iqs/wav/a0042.wav,female,48000,American English,VoxForge,headset mic
15,./audio_data/voxforge/jlrice9673-20090623-dfl/wav/rb-05.wav,female,48000,American English,VoxForge,headset mic
16,./audio_data/voxforge/Melissa-20081211-apn/wav/b0296.wav,female,48000,American English,VoxForge,laptop built
17,./audio_data/voxforge/anonymous-20090917-frf/wav/ar-11.wav,female,48000,American English,VoxForge,laptop built
18,./audio_data/voxforge/glendat-20110921-zhl/wav/b0088.wav,female,48000,American English,VoxForge,headset mic
19,./audio_data/voxforge/anonymous-20090415-ocs/wav/b0371.wav,female,48000,American English,VoxForge,headset mic
20,./audio_data/voxforge/anonymous-20090917-tgz/wav/rb-01.wav,female,48000,American English,VoxForge,laptop built
21,./audio_data/voxforge/monapdx-20130329-vsa/wav/a0220.wav,female,48000,American English,VoxForge,usb headset mic
22,./audio_data/voxforge/niimarra-20101103-bgi/wav/a0120.wav,female,48000,American English,VoxForge,laptop built
23,./audio_data/voxforge/aileen-20080831-dfq/wav/a0396.wav,female,48000,American English,VoxForge,headset mic
24,./audio_data/voxforge/lindavg-20081007-wyi/wav/a0497.wav,female,48000,American English,VoxForge,headset mic
25,./audio_data/voxforge/Chandri-20090902-rpp/wav/b0431.wav,female,48000,Canadian English,VoxForge,headset mic
26,./audio_data/voxforge/apdsqueaky-20151112-juc/wav/b0105.wav,female,48000,American English,VoxForge,usb desktop boom mic
27,./audio_data/voxforge/TLC-20091027-ysp/wav/a0028.wav,female,48000,American English,VoxForge,laptop built
28,./audio_data/voxforge/lindavg-20081007-adc/wav/b0136.wav,female,48000,American English,VoxForge,headset mic
29,./audio_data/voxforge/anonymous-20090917-lvy/wav/a0409.wav,female,48000,American English,VoxForge,laptop built
30,./audio_data/voxforge/allison-20120707-xik/wav/a0185.wav,female,48000,American English,VoxForge,headset mic
31,./audio_data/voxforge/Anniepoo-20140308-nky/wav/b0078.wav,female,48000,American English,VoxForge,headset mic
32,./audio_data/voxforge/bjb-20120409-cao/wav/b0277.wav,female,48000,Canadian English,VoxForge,desktop boom mic
33,./audio_data/voxforge/anonymous-20090917-fjn/wav/a0440.wav,female,48000,American English,VoxForge,laptop built
34,./audio_data/voxforge/anonymous-20120427-msw/wav/a0063.wav,female,48000,American English,VoxForge,laptop built
35,./audio_data/voxforge/becz03-20121205-ixj/wav/a0179.wav,female,48000,American English,VoxForge,headset mic
36,./audio_data/voxforge/Michelle-20131029-oxi/wav/a0429.wav,female,48000,American English,VoxForge,usb desktop boom mic
37,./audio_data/voxforge/anonymous-20090917-aiu/wav/b0032.wav,female,48000,American English,VoxForge,laptop built
38,./audio_data/voxforge/sshick06-20110815-lwv/wav/b0004.wav,female,48000,American English,VoxForge,laptop built
39,./audio_data/voxforge/anonymous-20090618-emm/wav/a0001.wav,female,48000,American English,VoxForge,desktop boom mic
40,./audio_data/voxforge/anonymous-20090618-emm/wav/a0002.wav,female,48000,American English,VoxForge,desktop boom mic
41,./audio_data/voxforge/anonymous-20100604-qub/wav/b0163.wav,female,48000,American English,VoxForge,laptop built
42,./audio_data/voxforge/Anniepoo-20140308-fcp/wav/a0059.wav,female,48000,American English,VoxForge,headset mic
43,./audio_data/voxforge/anonymous-20110826-qjl/wav/a0516.wav,female,48000,American English,VoxForge,usb headset mic
44,./audio_data/voxforge/anonymous-20160104-sjd/wav/a0152.wav,female,48000,American English,VoxForge,laptop built
45,./audio_data/voxforge/sfauzia-20100731-nyj/wav/b0105.wav,female,48000,American English,VoxForge,laptop built
46,./audio_data/voxforge/anonymous-20110214-lko/wav/b0155.wav,female,48000,American English,VoxForge,laptop built
47,./audio_data/voxforge/apdsqueaky-20151112-nij/wav/b0210.wav,female,48000,American English,VoxForge,usb desktop boom mic
48,./audio_data/voxforge/tandraericson-20140831-pdr/wav/a0198.wav,female,48000,American English,VoxForge,laptop built
49,./audio_data/voxforge/anonymous-20090917-ppu/wav/a0195.wav,female,48000,American English,VoxForge,laptop built
50,./audio_data/voxforge/Michelle-20131029-oxi/wav/a0431.wav,female,48000,American English,VoxForge,usb desktop boom mic
51,./audio_data/voxforge/anonymous-20090917-bvk/wav/a0014.wav,female,48000,American English,VoxForge,laptop built
52,./audio_data/voxforge/anonymous-20171019-bts/wav/en-0612.wav,female,48000,American English,VoxForge,laptop built
53,./audio_data/voxforge/anonymous-20101112-hep/wav/b0363.wav,female,48000,American English,VoxForge,desktop boom mic
54,./audio_data/voxforge/lindavg-20081007-snd/wav/rb-12.wav,female,48000,American English,VoxForge,headset mic
55,./audio_data/voxforge/anonymous-20131029-wcc/wav/b0350.wav,female,48000,American English,VoxForge,usb desktop boom mic
56,./audio_data/voxforge/anonymous-20160104-ert/wav/b0288.wav,female,48000,American English,VoxForge,laptop built
57,./audio_data/voxforge/anonymous-20160104-sjd/wav/a0157.wav,female,48000,American English,VoxForge,laptop built
58,./audio_data/voxforge/anonymous-20090406-ifh/wav/a0241.wav,female,48000,American English,VoxForge,headset mic
59,./audio_data/voxforge/ajforesto4Christ-20120313-wgj/wav/b0478.wav,female,48000,American English,VoxForge,headset mic
60,./audio_data/voxforge/KnitGirl-20071113-dil/wav/b0269.wav,female,48000,American English,VoxForge,
61,./audio_data/voxforge/anonymous-20110227-cbf/wav/b0050.wav,female,48000,American English,VoxForge,laptop built
62,./audio_data/voxforge/anonymous-20081026-qbt/wav/a0179.wav,female,48000,American English,VoxForge,laptop built
63,./audio_data/voxforge/sarah-20140326-csv/wav/b0139.wav,female,48000,American English,VoxForge,laptop built
64,./audio_data/voxforge/anonymous-20171019-weg/wav/en-0802.wav,female,48000,American English,VoxForge,laptop built
65,./audio_data/voxforge/lindavg-20081007-jyk/wav/a0068.wav,female,48000,American English,VoxForge,headset mic
66,./audio_data/voxforge/allison-20120707-xik/wav/a0180.wav,female,48000,American English,VoxForge,headset mic
67,./audio_data/voxforge/anonymous-20171019-jov/wav/en-0121.wav,female,48000,American English,VoxForge,laptop built
68,./audio_data/voxforge/bjb-20120409-cao/wav/b0278.wav,female,48000,Canadian English,VoxForge,desktop boom mic
69,./audio_data/voxforge/apdsqueaky-20151112-nij/wav/b0207.wav,female,48000,American English,VoxForge,usb desktop boom mic
70,./audio_data/voxforge/lindavg-20081007-lxd/wav/a0308.wav,female,48000,American English,VoxForge,headset mic
71,./audio_data/voxforge/Anniepoo-20140308-xot/wav/b0175.wav,female,48000,American English,VoxForge,headset mic
72,./audio_data/voxforge/anonymous-20120302-whq/wav/a0089.wav,female,48000,American English,VoxForge,laptop built
73,./audio_data/voxforge/ETT-20090329-typ/wav/a0408.wav,female,48000,American English,VoxForge,laptop built
74,./audio_data/voxforge/anonymous-20090406-evj/wav/a0211.wav,female,48000,American English,VoxForge,headset mic
75,./audio_data/voxforge/anonymous-20101110-wkc/wav/a0182.wav,female,48000,American English,VoxForge,usb headset mic
76,./audio_data/voxforge/anonymous-20140104-cje/wav/a0327.wav,female,48000,American English,VoxForge,laptop built
77,./audio_data/voxforge/anonymous-20090406-evj/wav/a0205.wav,female,48000,American English,VoxForge,headset mic
78,./audio_data/voxforge/anonymous-20140104-zxf/wav/b0264.wav,female,48000,American English,VoxForge,laptop built
79,./audio_data/voxforge/jlrice9673-20090625-len/wav/b0124.wav,female,48000,American English,VoxForge,headset mic
80,./audio_data/voxforge/almotter-20110721-yaa/wav/b0028.wav,female,48000,American English,VoxForge,usb headset mic
81,./audio_data/voxforge/anonymous-20140104-zxf/wav/b0269.wav,female,48000,American English,VoxForge,laptop built
82,./audio_data/voxforge/jlrice9673-20090625-xai/wav/a0059.wav,female,48000,American English,VoxForge,headset mic
83,./audio_data/voxforge/sshick06-20110815-lwv/wav/a0591.wav,female,48000,American English,VoxForge,laptop built
84,./audio_data/voxforge/anonymous-20140104-wcg/wav/b0434.wav,female,48000,American English,VoxForge,laptop built
85,./audio_data/voxforge/anonymous-20140104-cje/wav/a0328.wav,female,48000,American English,VoxForge,laptop built
86,./audio_data/voxforge/anonymous-20090917-fjn/wav/a0437.wav,female,48000,American English,VoxForge,laptop built
87,./audio_data/voxforge/anonymous-20110323-vro/wav/a0445.wav,female,48000,Canadian English,VoxForge,usb headset mic
88,./audio_data/voxforge/jlrice9673-20090623-dfl/wav/rb-01.wav,female,48000,American English,VoxForge,headset mic
89,./audio_data/voxforge/lindavg-20081007-wyi/wav/a0498.wav,female,48000,American English,VoxForge,headset mic
90,./audio_data/voxforge/aileen-20080831-ema/wav/a0378.wav,female,48000,American English,VoxForge,headset mic
91,./audio_data/voxforge/anonymous-20090917-zsc/wav/b0359.wav,female,48000,American English,VoxForge,laptop built
92,./audio_data/voxforge/lindavg-20081007-lxd/wav/a0311.wav,female,48000,American English,VoxForge,headset mic
93,./audio_data/voxforge/Chandri-20090902-rpp/wav/b0433.wav,female,48000,Canadian English,VoxForge,headset mic
94,./audio_data/voxforge/anonymous-20080621-img/wav/b0014.wav,female,48000,American English,VoxForge,laptop built
95,./audio_data/voxforge/ShellyTerrell-20101007-fzt/wav/a0152.wav,female,48000,American English,VoxForge,laptop built
96,./audio_data/voxforge/anonymous-20090917-vwy/wav/b0307.wav,female,48000,American English,VoxForge,laptop built
97,./audio_data/voxforge/kristenwegner-20120217-gdx/wav/a0498.wav,female,48000,American English,VoxForge,laptop built
98,./audio_data/voxforge/Anniepoo-20140308-fcp/wav/a0061.wav,female,48000,American English,VoxForge,headset mic
99,./audio_data/voxforge/Melissa-20081211-qhg/wav/b0523.wav,female,48000,American English,VoxForge,laptop built
100,./audio_data/voxforge/apdsqueaky-20151112-wjo/wav/a0561.wav,female,48000,American English,VoxForge,usb desktop boom mic
101,./audio_data/voxforge/lindavg-20081007-wyi/wav/a0499.wav,female,48000,American English,VoxForge,headset mic
102,./audio_data/voxforge/anonymous-20110709-hjc/wav/b0445.wav,female,48000,American English,VoxForge,laptop built
103,./audio_data/voxforge/becz03-20121205-yzd/wav/b0072.wav,female,48000,American English,VoxForge,laptop built
104,./audio_data/voxforge/anonymous-20160104-bhb/wav/b0402.wav,female,48000,American English,VoxForge,laptop built
105,./audio_data/voxforge/anonymous-20090917-frf/wav/ar-08.wav,female,48000,American English,VoxForge,laptop built
106,./audio_data/voxforge/sarah-20140326-csv/wav/b0142.wav,female,48000,American English,VoxForge,laptop built
107,./audio_data/voxforge/ajforesto4Christ-20120313-wgj/wav/b0484.wav,female,48000,American English,VoxForge,headset mic
108,./audio_data/voxforge/tandraericson-20140831-pdr/wav/a0200.wav,female,48000,American English,VoxForge,laptop built
109,./audio_data/voxforge/katthernandez-20101031-byc/wav/b0173.wav,female,48000,American English,VoxForge,laptop built
110,./audio_data/voxforge/jlrice9673-20090625-len/wav/b0125.wav,female,48000,American English,VoxForge,headset mic
111,./audio_data/voxforge/anonymous-20120302-zyn/wav/a0347.wav,female,48000,American English,VoxForge,laptop built
112,./audio_data/voxforge/anonymous-20081026-qbt/wav/a0176.wav,female,48000,American English,VoxForge,laptop built
113,./audio_data/voxforge/anonymous-20100716-lmq/wav/b0033.wav,female,48000,American English,VoxForge,headset mic
114,./audio_data/voxforge/sakurairo-20120315-pit/wav/b0268.wav,female,48000,American English,VoxForge,headset mic
115,./audio_data/voxforge/almotter-20110721-yaa/wav/b0026.wav,female,48000,American English,VoxForge,usb headset mic
116,./audio_data/voxforge/Melissa-20081211-qhg/wav/b0530.wav,female,48000,American English,VoxForge,laptop built
117,./audio_data/voxforge/apdsqueaky-20151112-juc/wav/b0112.wav,female,48000,American English,VoxForge,usb desktop boom mic
118,./audio_data/voxforge/anonymous-20111121-quz/wav/a0279.wav,female,48000,American English,VoxForge,headset mic
119,./audio_data/voxforge/tandraericson-20140831-rjx/wav/a0287.wav,female,48000,American English,VoxForge,laptop built
120,./audio_data/voxforge/jlrice9673-20090623-agu/wav/a0253.wav,female,48000,American English,VoxForge,headset mic
121,./audio_data/voxforge/sfauzia-20100731-nyj/wav/b0096.wav,female,48000,American English,VoxForge,laptop built
122,./audio_data/voxforge/lindavg-20081007-ocy/wav/b0519.wav,female,48000,American English,VoxForge,headset mic
123,./audio_data/voxforge/tdor-20131029-hdz/wav/b0193.wav,female,48000,American English,VoxForge,usb desktop boom mic
124,./audio_data/voxforge/anonymous-20081026-ewe/wav/rp-02.wav,female,48000,American English,VoxForge,laptop built
125,./audio_data/voxforge/anonymous-20090406-ifh/wav/a0240.wav,female,48000,American English,VoxForge,headset mic
126,./audio_data/voxforge/anonymous-20100604-qub/wav/b0160.wav,female,48000,American English,VoxForge,laptop built
127,./audio_data/voxforge/anonymous-20110826-vgx/wav/rb-20.wav,female,48000,American English,VoxForge,usb headset mic
128,./audio_data/voxforge/Velvet-20131027-fwx/wav/rp-14.wav,female,48000,American English,VoxForge,usb headset mic
