,filename,gender,sampling_rate,dialect,source,mic_type,pitch,intonation
0,./audio_data/voxforge/lindavg-20081007-ovc/wav/b0452.wav,female,48000,American English,VoxForge,headset mic,212.13655425992064,39.69444464664938
1,./audio_data/voxforge/anonymous-20171019-nwf/wav/en-0774.wav,female,48000,American English,VoxForge,laptop built,240.56491568243612,41.401864101692915
2,./audio_data/voxforge/anonymous-20100604-qub/wav/b0158.wav,female,48000,American English,VoxForge,laptop built,174.89534317268425,68.67050690638911
3,./audio_data/voxforge/anonymous-20111230-bqh/wav/a0452.wav,female,48000,American English,VoxForge,laptop built,175.33924401598182,34.576546829851
4,./audio_data/voxforge/anonymous-20081026-ewe/wav/b0537.wav,female,48000,American English,VoxForge,laptop built,163.33382928767114,43.92007661539491
5,./audio_data/voxforge/anonymous-20090917-vwy/wav/b0302.wav,female,48000,American English,VoxForge,laptop built,168.3136403757935,35.63064839012001
6,./audio_data/voxforge/becz03-20121205-ixj/wav/a0172.wav,female,48000,American English,VoxForge,headset mic,193.99160716093485,57.456511428176675
7,./audio_data/voxforge/aileen-20080831-dfq/wav/a0401.wav,female,48000,American English,VoxForge,headset mic,198.38316222197275,32.176237911707396
8,./audio_data/voxforge/sfauzia-20100731-nyj/wav/b0099.wav,female,48000,American English,VoxForge,laptop built,224.3747689664598,50.15997521835526
9,./audio_data/voxforge/anonymous-20130226-cyt/wav/b0254.wav,female,48000,American English,VoxForge,headset mic,180.07229709287984,28.825581537746395
10,./audio_data/voxforge/anonymous-20160104-sjd/wav/a0150.wav,female,48000,American English,VoxForge,laptop built,236.35058248771946,50.10657587865231
11,./audio_data/voxforge/anonymous-20090917-dcv/wav/a0516.wav,female,48000,American English,VoxForge,laptop built,147.32067825084383,36.78726078473297
12,./audio_data/voxforge/apdsqueaky-20151112-cmp/wav/b0411.wav,female,48000,American English,VoxForge,usb desktop boom mic,228.40909017188437,42.94914659305287
13,./audio_data/voxforge/aileen-20080831-ema/wav/a0371-old1.wav,female,48000,American English,VoxForge,headset mic,215.57470021227903,59.08572996251575
14,./audio_data/voxforge/aileen-20080831-iqs/wav/a0042.wav,female,48000,American English,VoxForge,headset mic,226.98414279343157,40.02677266511619
15,./audio_data/voxforge/jlrice9673-20090623-dfl/wav/rb-05.wav,female,48000,American English,VoxForge,headset mic,196.65048281653318,24.18015226687068
16,./audio_data/voxforge/Melissa-20081211-apn/wav/b0296.wav,female,48000,American English,VoxForge,laptop built,189.66551618620056,11.820189119747653
17,./audio_data/voxforge/anonymous-20090917-frf/wav/ar-11.wav,female,48000,American English,VoxForge,laptop built,172.24675566455878,42.15984206783645
18,./audio_data/voxforge/glendat-20110921-zhl/wav/b0088.wav,female,48000,American English,VoxForge,headset mic,147.89706438220716,22.737448567612837
19,./audio_data/voxforge/anonymous-20090415-ocs/wav/b0371.wav,female,48000,American English,VoxForge,headset mic,181.44691998452578,45.492959261272496
20,./audio_data/voxforge/anonymous-20090917-tgz/wav/rb-01.wav,female,48000,American English,VoxForge,laptop built,200.99027655801802,48.68556388584373
21,./audio_data/voxforge/monapdx-20130329-vsa/wav/a0220.wav,female,48000,American English,VoxForge,usb headset mic,185.1541905124044,28.32074428262174
22,./audio_data/voxforge/niimarra-20101103-bgi/wav/a0120.wav,female,48000,American English,VoxForge,laptop built,194.1116924488365,37.39468498823429
23,./audio_data/voxforge/aileen-20080831-dfq/wav/a0396.wav,female,48000,American English,VoxForge,headset mic,202.5708354995802,26.51778846603598
24,./audio_data/voxforge/lindavg-20081007-wyi/wav/a0497.wav,female,48000,American English,VoxForge,headset mic,213.15484223641087,27.37601744288951
25,./audio_data/voxforge/Chandri-20090902-rpp/wav/b0431.wav,female,48000,Canadian English,VoxForge,headset mic,132.3956486413147,35.65691927399502
26,./audio_data/voxforge/apdsqueaky-20151112-juc/wav/b0105.wav,female,48000,American English,VoxForge,usb desktop boom mic,228.26233609682436,31.90699078946315
27,./audio_data/voxforge/TLC-20091027-ysp/wav/a0028.wav,female,48000,American English,VoxForge,laptop built,167.52829142454772,31.013641497508644
28,./audio_data/voxforge/lindavg-20081007-adc/wav/b0136.wav,female,48000,American English,VoxForge,headset mic,204.93574613713665,32.21164284567282
29,./audio_data/voxforge/anonymous-20090917-lvy/wav/a0409.wav,female,48000,American English,VoxForge,laptop built,164.9276647798561,47.55375205307307
30,./audio_data/voxforge/allison-20120707-xik/wav/a0185.wav,female,48000,American English,VoxForge,headset mic,169.2798108448278,42.786004065838725
31,./audio_data/voxforge/Anniepoo-20140308-nky/wav/b0078.wav,female,48000,American English,VoxForge,headset mic,140.68324996540827,44.743741047385335
32,./audio_data/voxforge/bjb-20120409-cao/wav/b0277.wav,female,48000,Canadian English,VoxForge,desktop boom mic,212.12657098533813,26.319259847459495
33,./audio_data/voxforge/anonymous-20090917-fjn/wav/a0440.wav,female,48000,American English,VoxForge,laptop built,155.19974951508715,46.73028511696142
34,./audio_data/voxforge/anonymous-20120427-msw/wav/a0063.wav,female,48000,American English,VoxForge,laptop built,183.4136166132034,25.914496600244572
35,./audio_data/voxforge/becz03-20121205-ixj/wav/a0179.wav,female,48000,American English,VoxForge,headset mic,205.4721844699178,39.0284491717018
36,./audio_data/voxforge/Michelle-20131029-oxi/wav/a0429.wav,female,48000,American English,VoxForge,usb desktop boom mic,258.99231970538136,24.543355738116727
