,filename,gender,sampling_rate,dialect,source,mic_type,pitch,intonation,f1_diff,f2_diff,duration,resonance,pred,proba,correct
3310,./audio_data/voxforge/anonymous-20110224-dxs/wav/a0235.wav,male,48000,American English,VoxForge,laptop built,154.46411285132976,45.33154969119419,-4.025198800223214,-264.3217075892857,5.125,-268.34690638950894,female,0.45363999888999884,False
270,./audio_data/mcgill/FI/FI49_02.wav,female,48000,Canadian English,McGill,stereo mic,156.65977715060885,32.69681375704336,73.49264962332589,121.04685756138392,2.6156875,194.5395071847098,female,0.15022702297702295,True
1424,./audio_data/voxforge/Anniepoo-20140308-fcp/wav/a0064.wav,female,48000,American English,VoxForge,headset mic,135.30422792147704,51.66946704815849,20.51971990411932,-187.88163063742897,4.75,-167.36191073330966,female,0.4602274473892121,True
4477,./audio_data/voxforge/src105-20090728-yal/wav/b0025.wav,male,48000,American English,VoxForge,laptop built,155.94264881563066,25.2960051361226,-74.1874491373698,-91.44921875,2.75,-165.6366678873698,male,0.5469900426371015,True
520,./audio_data/voxforge/anonymous-20101030-emu/wav/a0200.wav,female,48000,American English,VoxForge,laptop built,152.51492772389508,60.36251440911526,37.80292510986328,100.6414794921875,7.375,138.44440460205078,female,0.08161951936951936,True
3055,./audio_data/voxforge/anonymous-20090312-pmf/wav/a0552.wav,male,48000,American English,VoxForge,laptop built,132.18795643441803,51.57144668234482,-68.35169474283855,-281.00355021158856,3.625,-349.3552449544271,male,0.5438974220224221,True
4050,./audio_data/voxforge/asp-20091228-qtl/wav/a0580.wav,male,48000,American English,VoxForge,laptop built,162.48746529467837,49.04904819723824,-149.60800170898438,-22.2861328125,3.75,-171.89413452148438,female,0.19523663548353948,False
2957,./audio_data/voxforge/camdixon-20130819-oqd/wav/a0216.wav,male,48000,American English,VoxForge,laptop built,156.8765616516711,26.405812317255062,-100.86726760864258,124.0380859375,5.125,23.170818328857422,female,0.2547512487512487,False
3838,./audio_data/voxforge/camdixon-20141207-dvx/wav/rb-11.wav,male,48000,American English,VoxForge,headset mic,144.38374427538795,19.95831176979959,-20.67271423339844,101.51495361328124,5.5,80.8422393798828,female,0.3414818237318237,False
1673,./audio_data/voxforge/anonymous-20080621-img/wav/b0011.wav,female,48000,American English,VoxForge,laptop built,159.31600834470035,48.10084175621572,-82.88826127485795,-183.29167036576703,5.524416666666666,-266.179931640625,female,0.4814978012183896,True
1519,./audio_data/voxforge/Velvet-20131027-fdf/wav/b0235.wav,female,48000,American English,VoxForge,usb headset mic,149.2011133425204,15.830364849347763,-61.444618225097656,60.52375793457031,5.875,-0.9208602905273438,male,0.549180047077106,False
4577,./audio_data/voxforge/asp-20091228-qtl/wav/a0578.wav,male,48000,American English,VoxForge,laptop built,131.97286709000278,50.37060109281468,197.53765869140625,343.976806640625,4.125,541.5144653320312,female,0.40311627261627264,False
3445,./audio_data/voxforge/anonymous-20081027-zih/wav/a0282.wav,male,48000,American English,VoxForge,laptop built,148.22115723574967,50.07769207391549,-3.942852783203125,137.3482666015625,4.875,133.40541381835936,female,0.1517224393253805,False
1888,./audio_data/voxforge/anonymous-20080621-img/wav/b0018.wav,female,48000,American English,VoxForge,laptop built,146.55771471352372,61.770237057222346,-35.228179931640625,-251.35205078125,3.1836875,-286.5802307128906,male,0.6326099317349317,False
